Frequency Reading (MHz),Uncertainty Frequency (MHz),Current Reading (A),Uncertainty Current Reading(A),Current Through Helmholtz Coil (A),Uncertainty of Current Through Coil (A),Magnetic Field (T),Uncertainty of Magnetic Field (T)
18.882,0.001,0.246,0.03615,0.123,0.018075,0.0005705425255,0.000623639884
24.276,0.001,0.297,0.037425,0.1485,0.0187125,0.0006888257319,0.0006345494292
27.236,0.001,0.331,0.038275,0.1655,0.0191375,0.0007676812029,0.0006417202178
29.216,0.001,0.381,0.039525,0.1905,0.0197625,0.0008836451309,0.0006521233967
33.837,0.001,0.433,0.040825,0.2165,0.0204125,0.001004247616,0.0006627709033
32.256,0.001,0.413,0.040325,0.2065,0.0201625,0.0009578620448,0.0006586959071
42.971,0.001,0.549,0.043725,0.2745,0.0218625,0.001273283929,0.0006859326703
39.947,0.001,0.523,0.043075,0.2615,0.0215375,0.001212982686,0.0006808091573
41.100,0.001,0.534,0.04335,0.267,0.021675,0.00123849475,0.0006829814458
37.997,0.001,0.492,0.0423,0.246,0.02115,0.001141085051,0.0006746499603
48.863,0.001,0.629,0.045725,0.3145,0.0228625,0.001458826213,0.0007014647594
57.742,0.001,0.752,0.0488,0.376,0.0244,0.001744097476,0.0007247022897
62.483,0.001,0.798,0.04995,0.399,0.024975,0.00185078429,0.0007332054105
60.117,0.001,0.785,0.049625,0.3925,0.0248125,0.001820633669,0.0007308122811
54.178,0.001,0.706,0.04765,0.353,0.023825,0.001637410662,0.0007160992418
69.921,0.001,0.897,0.052425,0.4485,0.0262125,0.002080392867,0.000751182528
